k,mean
1.1.2.2.2.2.3.2.1.1.2.2.1.2.1.2.2.2.2.2.2.2,1.5950081249253456
1.1.2.2.2.2.3.2.1.1.2.2.2.1.2.1.2.1.2.2.2.2,0.8991303387128181
1.1.2.2.2.2.3.2.1.1.2.2.2.1.2.1.2.2.2.2.2.2,0.8674380123082966
1.1.2.2.2.2.3.2.1.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0255883473301035
1.1.2.2.2.2.3.2.1.1.2.2.2.2.1.2.2.2.2.2.2.2,1.7500533137971415
1.1.2.2.2.2.3.2.1.1.2.2.2.2.2.2.2.2.2.2.2.2,1.2048285109689105
1.1.2.2.2.2.3.2.2.1.1.2.2.1.2.1.2.1.2.2.2.2,0.89427531611848
1.1.2.2.2.2.3.2.2.1.1.2.2.1.2.1.2.2.2.2.2.2,0.8532480594720859
1.1.2.2.2.2.3.2.2.1.1.2.2.1.2.2.2.2.2.2.2.2,1.010743503952837
1.1.2.2.2.2.3.2.2.1.1.2.2.2.2.2.2.2.2.2.2.2,1.1743721504093767
1.1.2.2.2.2.3.2.2.1.2.1.2.1.2.1.2.1.2.2.2.2,0.8870615577813667
1.1.2.2.2.2.3.2.2.1.2.1.2.1.2.1.2.2.2.2.2.2,0.8431345120343986
1.1.2.2.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.2,1.0001850906879262
1.1.2.2.2.2.3.2.2.1.2.1.2.2.2.2.2.2.2.2.2.2,1.1482520832839502
1.1.2.2.2.2.3.2.2.1.2.2.1.1.2.1.2.1.2.2.2.2,0.8988820450940189
1.1.2.2.2.2.3.2.2.1.2.2.1.1.2.1.2.2.2.2.2.2,0.854946736716783
1.1.2.2.2.2.3.2.2.1.2.2.1.1.2.2.2.2.2.2.2.2,1.0147167138350235
1.1.2.2.2.2.3.2.2.1.2.2.1.2.1.2.2.1.2.2.2.2,1.709146446626587
1.1.2.2.2.2.3.2.2.1.2.2.1.2.1.2.2.2.2.2.2.2,1.7031627113715972
1.1.2.2.2.2.3.2.2.1.2.2.1.2.2.2.2.2.2.2.2.2,1.8706620633039028
1.1.2.2.2.2.3.2.2.1.2.2.2.1.1.1.2.1.2.2.2.2,0.8955514523759731
1.1.2.2.2.2.3.2.2.1.2.2.2.1.1.1.2.2.2.2.2.2,0.8546862372326092
1.1.2.2.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.2,1.0183856503885158
1.1.2.2.2.2.3.2.2.1.2.2.2.1.2.1.1.1.2.2.2.2,0.8803965439725726
